id_pregunta,origen,respuesta_texto,ts_creacion
68f2d95bd190740cfd6a3318,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:39
68f2d95bd190740cfd6a37e4,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:39
68f2d95bd190740cfd6a3900,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:39
68f2d95bd190740cfd6a3754,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:40
68f2d95bd190740cfd6a40cb,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:40
68f2d95bd190740cfd6a1bb6,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:40
68f2d95bd190740cfd6a3cf1,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:41
68f2d95bd190740cfd6a33d8,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:41
68f2d95bd190740cfd6a22c7,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:41
68f2d95bd190740cfd6a3b4f,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:42
68f2d95bd190740cfd6a3d39,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:42
68f2d95bd190740cfd6a2e3d,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:42
68f2d95bd190740cfd6a1b52,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:44
68f2d95bd190740cfd6a3801,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:45
68f2d95bd190740cfd6a3a1f,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:46
68f2d95bd190740cfd6a1caf,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:48
68f2d95bd190740cfd6a367a,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:50
68f2d95bd190740cfd6a1f43,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:52
68f2d95bd190740cfd6a38ae,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:53
68f2d95bd190740cfd6a2172,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:53
68f2d95bd190740cfd6a1e32,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:55
68f2d95bd190740cfd6a2616,yahoo,PUBLISH ENQUEUED questions_in,2025-10-29T13:16:55
