timestamp,operation,id,title,status,latency,score
2025-09-29T19:39:21,GET,68dadb722a69ea68e120faf3,Is our judicial system a mess?,MISS,0.0113,0.112
2025-09-29T19:39:22,GET,68dadb722a69ea68e120fbe6,i need help ladies?,MISS,0.0207,0.1178
2025-09-29T19:39:24,GET,68dadb722a69ea68e12105b2,hi i am a medical graduate. i want to make my futu,MISS,0.0155,0.1517
2025-09-29T19:39:25,GET,68dadb722a69ea68e121053a,Can Wi-Fi signals be dangerous for my health?,MISS,0.0128,0.0
2025-09-29T19:39:26,GET,68dadb722a69ea68e120fa3c,where can i look for a partner in the usa for dist,MISS,0.0173,0.0265
2025-09-29T19:39:28,GET,68dadb722a69ea68e1210a44,Germany vs Costarica can u guess the score ?,MISS,0.0124,0.0911
2025-09-29T19:39:30,GET,68dadb722a69ea68e121074b,the mechanism of U enrichment by lasers?,MISS,0.0188,0.4855
2025-09-29T19:39:31,GET,68dadb722a69ea68e120fffe,"Poll #5 : Phone? Cell, home, payphone.....?",MISS,0.019,0.1796
2025-09-29T19:39:32,GET,68dadb722a69ea68e1210e88,what is the real name to this eminem song?,MISS,0.0085,0.0
2025-09-29T19:39:34,GET,68dadb722a69ea68e1211790,whos in cheerlaeding?,MISS,0.0165,0.0
2025-09-29T19:39:35,GET,68dadb722a69ea68e12106c2,Any Advice?? Nurses or Nursing majors only?,MISS,0.0142,0.1096
2025-09-29T19:39:36,GET,68dadb722a69ea68e120fedc,what happens when you wear your contacts longer th,MISS,0.0042,0.1972
2025-09-29T19:39:38,GET,68dadb722a69ea68e1211719,Should I answer if I don't know the answer? Or sho,MISS,0.0178,0.0
2025-09-29T19:39:40,GET,68dadb722a69ea68e12105d1,"Grants,grants,grants......?",MISS,0.0193,0.0518
2025-09-29T19:39:41,GET,68dadb722a69ea68e121006e,Who Feels the Spirit Revealing Truths?,MISS,0.0052,0.1303
2025-09-29T19:39:42,GET,68dadb722a69ea68e1211621,Canada is Famous for What??,MISS,0.017,0.0
2025-09-29T19:39:44,GET,68dadb722a69ea68e12105d5,need help with my cuz's homework?,MISS,0.0174,0.0
2025-09-29T19:39:45,GET,68dadb722a69ea68e1210512,Anyone heard about the Extended Sexual Orgasm Prog,MISS,0.0079,0.0586
2025-09-29T19:39:47,GET,68dadb722a69ea68e12114a8,equivalent of a 1litre in kilograms??,MISS,0.0169,0.2102
2025-09-29T19:39:49,GET,68dadb722a69ea68e120f749,Interview Question - Title Question?,MISS,0.0089,0.0752
2025-09-29T19:39:50,GET,68dadb722a69ea68e1211418,want your opinion. met a guy on line was to met hi,MISS,0.0168,0.0756
2025-09-29T19:39:51,GET,68dadb722a69ea68e121176d,Which prescription diet pills work the best?Not ov,MISS,0.0168,0.1185
2025-09-29T19:39:51,GET,68dadb722a69ea68e120ff46,Can someone please tell me the freedoms that they ,MISS,0.0065,0.0751
2025-09-29T19:39:52,GET,68dadb722a69ea68e120f76b,Any one else think that If US were to win the cup ,MISS,0.0087,0.3072
2025-09-29T19:39:53,GET,68dadb722a69ea68e1210e42,"If you go into court, you aren't you just ..?",HIT,0.0017,
2025-09-29T19:39:55,GET,68dadb722a69ea68e12117c0,"""my impossible dream,, full of breath and life"",, ",MISS,0.0169,0.0
2025-09-29T19:39:56,GET,68dadb722a69ea68e1210c00,"cosumerinfo.com credit fund.po box9119 settle,wa 9",MISS,0.0172,0.0797
2025-09-29T19:39:57,GET,68dadb722a69ea68e121006b,The Rapture?,MISS,0.012,0.3218
2025-09-29T19:39:58,GET,68dadb722a69ea68e120f72c,Wouldn't it be nice if we could elect our presiden,MISS,0.0192,0.2378
2025-09-29T19:40:00,GET,68dadb722a69ea68e1210b4c,is it possible to see the fight of pacquia/morales,MISS,0.0177,0.0
2025-09-29T19:40:01,GET,68dadb722a69ea68e12110d4,how can I determine if a person legally changed hi,MISS,0.017,0.168
2025-09-29T19:40:03,GET,68dadb722a69ea68e1210f9d,Should we rethink the Western prison system?,MISS,0.0074,0.1361
2025-09-29T19:40:04,GET,68dadb722a69ea68e120fc65,How do I get a girl that likes me to go out with m,MISS,0.0161,0.2261
2025-09-29T19:40:06,GET,68dadb722a69ea68e121178f,Is a 270 a good cal for deer and hog hunting?,MISS,0.0165,0.1465
2025-09-29T19:40:07,GET,68dadb722a69ea68e120f80f,Why does breathing in Helium gas make your voice s,MISS,0.0161,0.2033
2025-09-29T19:40:08,GET,68dadb722a69ea68e1210cbb,can you help with a math problem?,MISS,0.0173,0.2559
2025-09-29T19:40:09,GET,68dadb722a69ea68e12105fb,"When Jesus comes and takes the 12 X 12,000 perfect",MISS,0.0174,0.1933
2025-09-29T19:40:10,GET,68dadb722a69ea68e1211287,Looking for the name of a popular 60's song which ,MISS,0.0174,0.1558
2025-09-29T19:40:11,GET,68dadb722a69ea68e120f75e,Question For Muslims-the Bible and the Koran?,MISS,0.0136,0.4397
2025-09-29T19:40:13,GET,68dadb722a69ea68e12106d3,What do I do?!?,MISS,0.0186,0.0443
2025-09-29T19:40:14,GET,68dadb722a69ea68e12110dc,HELP! i have NO idea how or what to write for my s,MISS,0.0171,0.2506
2025-09-29T19:40:14,GET,68dadb722a69ea68e1210d5d,Need website with cultural & religious holidays.?,MISS,0.013,0.0174
2025-09-29T19:40:16,GET,68dadb722a69ea68e1210ca7,Search history that appears on my yahoo tool bar r,MISS,0.0177,0.2149
2025-09-29T19:40:17,GET,68dadb722a69ea68e120fe2b,am i the only person from texas who did NOT vote f,MISS,0.0164,0.1068
2025-09-29T19:40:18,GET,68dadb722a69ea68e120fda1,"I have a cist in my breast, I am a breast feeding ",MISS,0.0179,0.1275
2025-09-29T19:40:19,GET,68dadb722a69ea68e120fd98,"For Asian guys: i'm white, so why so often stare a",MISS,0.0172,0.0753
2025-09-29T19:40:20,GET,68dadb722a69ea68e12106bc,"Between Ronaldhino and Thierry Henry, who's the be",MISS,0.0164,0.1286
2025-09-29T19:40:21,GET,68dadb722a69ea68e120fc7a,who thought edward sisscor hands was in your room ,MISS,0.0116,0.0749
2025-09-29T19:40:22,GET,68dadb722a69ea68e1210734,"The song "" my hump?""?",MISS,0.0088,0.0838
2025-09-29T19:40:24,GET,68dadb722a69ea68e120f59a,Why can't I have more than one last name in my Ame,MISS,0.0077,0.0
2025-09-29T19:40:25,GET,68dadb722a69ea68e12106b0,how to transfer videos clips from pc to mobile pho,MISS,0.0183,0.0902
2025-09-29T19:40:26,GET,68dadb722a69ea68e1210a1d,"I always can't sleep well in the night , what shou",MISS,0.0173,0.1243
2025-09-29T19:40:27,GET,68dadb722a69ea68e120f2b1,"why do so many people watch reality tv, it's crap.",MISS,0.0178,0.1074
2025-09-29T19:40:28,GET,68dadb722a69ea68e12100a8,I've heard that girls or women who hang iut 2gethe,MISS,0.0168,0.11
2025-09-29T19:40:29,GET,68dadb722a69ea68e1210522,CD Cover Design Software?,MISS,0.008,0.1208
2025-09-29T19:40:30,GET,68dadb722a69ea68e1210b3e,what clarification must i have to be a paramedic?,MISS,0.0165,0.0899
2025-09-29T19:40:32,GET,68dadb722a69ea68e121012a,why do bush's policies fail?,MISS,0.0169,0.0138
2025-09-29T19:40:33,GET,68dadb722a69ea68e12115b7,Did you all have any idea about akatsuki leader?,MISS,0.0087,0.1517
2025-09-29T19:40:34,GET,68dadb722a69ea68e1210c08,What is remote scipting ?,MISS,0.011,0.148
2025-09-29T19:40:36,GET,68dadb722a69ea68e1210be2,jerome a scope?,MISS,0.0059,0.0
2025-09-29T19:40:37,GET,68dadb722a69ea68e120fb4b,where can i find success stories on people with di,MISS,0.0149,0.0
2025-09-29T19:40:39,GET,68dadb722a69ea68e120fc0e,Recd this mail subject from unknown source re Bill,MISS,0.0061,0.0885
2025-09-29T19:40:39,GET,68dadb722a69ea68e120fb04,Anyone know where I can get a free or cheap electr,MISS,0.0056,0.0443
2025-09-29T19:40:41,GET,68dadb722a69ea68e121167f,Jesus or Madman?,MISS,0.0131,0.2155
2025-09-29T19:40:42,GET,68dadb722a69ea68e12104cf,Why is it so hard to fall in love when somone has ,MISS,0.0211,0.2598
2025-09-29T19:40:42,GET,68dadb722a69ea68e1210a51,Would You Really Take Justin M. over Derek J.?,MISS,0.0179,0.1102
2025-09-29T19:40:43,GET,68dadb722a69ea68e1211729,Did you know I am a ninja?,MISS,0.008,0.1145
2025-09-29T19:40:44,GET,68dadb722a69ea68e12109ae,Can you cheer me up?,MISS,0.0179,0.0854
2025-09-29T19:40:45,GET,68dadb722a69ea68e1210587,Should I take the job or not?,MISS,0.016,0.1364
2025-09-29T19:40:47,GET,68dadb722a69ea68e1210084,Is there a cap for a moving violation ticket?  I k,MISS,0.017,0.14
2025-09-29T19:40:49,GET,68dadb722a69ea68e1211216,What happens to the body when somebody has taken a,MISS,0.0213,0.3083
2025-09-29T19:40:50,GET,68dadb722a69ea68e120f847,Why isn't it in alphabetical order?,MISS,0.0171,0.3148
